"Name","VisualLevel","Deprecated","TID","InfoTID","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","DonateXP","DonateCount","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","DeathShowTimeMS","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","DeployEffect2","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","TargetableByGroundAndAir","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","IsTotem","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DieDamageAffectsAir","NoDieDamageForSuicide","DisableProduction","CantBeEjected","SecondaryTroop","DontSpawnSecondaryWhenEjected","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","PushbackAfterHit","Pushback","PushbackTime","PushbackHousingLimit","SummonTroop","SummonTroopCount","SummonTime","SummonCooldown","SummonEffect","SummonLimit","ConsumeDebrisOnSummonRadius","SpawnIdle","SpawnOnAttack","StrengthWeight","AuraSpell","AuraSpellLevel","SpawnWhenDamaged","SpawnWhenDamagedEffect","JumpHeightPercent","NoClipping","Squad","WallMovementCost","BurstCount","BurstDelay","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackDepth","ChainAttackFactor","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","UndergroundEffect","UnderwaterEffect","MovingEffect","BecomesTargetableEffect","HideEffect","VillageType","UnitsInCamp","DisableDonate","ScaleByTH","EnabledByCalendar","EnabledBySuperLicence","LoseHpPerTick","LoseHpInterval","LoseHpEffect","UpgradeLevelByTH","UnlockByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget","RetargetAfterHit","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","DamageMultiplierTarget","DamageMultiplierPercent","FrostOnHitTime","FrostOnHitPercent","DoesNotOpenCC","DefensiveTroop","DamageReductionToStorages","BunkerTroops","BunkerTroopCount1","BunkerTroopCount2","BunkerDegenerationTime","BunkerSpawnDist","HeroDamageMultiplier","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","ImmuneToHealing","PreferHeroes","ForceRetaliation","HealerWeight","DefaultSkin","DefenseBonus","SmoothJump","SpecialAbilities","SpecialAbilitiesLevel","ReflectsDamage","AvoidNoiseInAttackPositionSelection","CarryOverToNextStage","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","MergeToCharacter","MergeSearchRadius","MergeEffect","SplitEffect","InheritHealthPercentage","PreviewScenario","AltPreviewScenario","StatBars","MaxSearchRadiusForDefender","AlertRadius"
"String","int","boolean","String","String","int","int","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","boolean","boolean","String","String","String","String","int","String","String","String","String","boolean","String","String","String","String","String","String","boolean","boolean","boolean","boolean","int","String","String","String","String","boolean","boolean","int","int","String","int","int","String","int","boolean","boolean","boolean","boolean","String","boolean","boolean","int","int","boolean","boolean","int","int","int","int","int","String","int","int","int","String","int","int","int","boolean","int","String","int","int","String","int","boolean","String","int","int","int","boolean","boolean","int","int","int","int","String","String","String","String","String","String","int","int","String","int","int","int","int","int","boolean","int","int","int","int","boolean","int","int","int","int","int","int","String","String","String","String","String","String","String","String","int","int","boolean","boolean","boolean","boolean","int","int","String","int","int","String","String","int","int","boolean","String","boolean","int","int","int","int","int","int","String","int","int","int","boolean","String","int","String","int","int","int","int","int","boolean","int","int","boolean","boolean","boolean","int","String","int","boolean","String","String","boolean","boolean","boolean","boolean","int","int","int","String","int","String","String","boolean","String","String","String","int","int"
"Barbarian",1,,"TID_BARBARIAN","TID_CHARACTER_INFO_BARBARIAN",1,1,1,220,45,5,0,30,"Elixir",10000,1,,,40,1000,,9,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_barbarian_big","sc/info_barbarian.sc",,,,,,,"Barbarian Deploy",,"Barbarian Attack",,"Barbarian Hit",,"FALSE","FALSE","TRUE",,,"Barbarian Die",,"Barbarian","Barrack","FALSE",,,0,"TombStone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,100,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TroopGroundAny",,,,
,2,,,,,,1,,54,,1,,,50000,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,3,,65,,2,,,130000,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,85,,4,,,300000,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,105,,8,,,800000,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,125,,12,,,1000000,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,160,,24,,,1500000,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,9,,205,,36,,,2500000,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,10,,230,,48,,,4300000,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
