"Name","Level","TID","InfoTID","DisableProduction","SpellForgeLevel","LaboratoryLevel","DonateCost","HousingSpace","TrainingTime","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeResource","UpgradeCost","BoostTimeMS","SpeedBoost","SpeedBoost2","JumpHousingLimit","JumpBoostMS","DamageBoostPercent","BuildingDamageBoostPercent","Damage","TroopDamagePermil","BuildingDamagePermil","ExecuteHealthPermil","DamagePermilMin","PreferredDamagePermilMin","Radius","NumberOfHits","RandomRadius","TimeBetweenHitsMS","IconSWF","IconExportName","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2Delay","DeployEffect2","ChargingEffect","HitEffect","RandomRadiusAffectsOnlyGfx","FreezeTimeMS","SpawnObstacle","NumObstacles","StrengthWeight","ProductionBuilding","TargetInfoString","PreferredTarget","PreferredTargetDamageMod","HeroDamageMultiplier","ShieldProjectileSpeed","ShieldProjectileDamageMod","ExtraHealthPermil","ExtraHealthMin","ExtraHealthMax","PoisonDPS","PoisonIncreaseSlowly","AttackSpeedBoost","BoostLinkedToPoison","PoisonAffectAir","ScaleDeployEffects","ImmortalTime","ShieldTime","ShieldProtectionPercent","MaxUnitsHit","EnemyDeployEffect","SnapToGrid","DuplicateHousing","DuplicateLifetime","SummonTroop","UnitsToSpawn","SpawnUpgradeLevel","ShrinkReduceSpeedRatio","ShrinkHitpointsRatio","SpawnDuration","SpawnFirstGroupSize","DamageTHPercent","DisableDonate","ScaleByTH","EnabledByCalendar","VillageType","PauseCombatComponentsMs","UpgradeLevelByTH","ChangeTeamTime","InvisibilityTime","FreezeOuterTimeMS","ConeAngle","FreezePercent","MinRadius","MinDamage","StunTimeMS","GiveSpecialAbility","GivenSpecialAbilityLevel","TornadoForce1","TornadoForce2","TornadoForce3","TornadoForce4","TornadoForce5","TornadoForceAir1","TornadoForceAir2","TornadoForceAir3","TornadoForceAir4","TornadoForceAir5","TornadoRotationSpeed","TornadoSpeedTowardsCenter","TornadoInnerRadius","TornadoInnerForcePercent","TornadoOuterForcePercent","ChainSpell","ChainSpellLevel","AffectsSiegeMachines","BoostDefenders","ImmunitySiegeMachines","ImmunityHeroes","ImmunityOtherCharacters","ImmunityTH_CC","ImmunityStorages","ImmunityWalls","ImmunityOtherBuildings","ImmunityTotems","ImmunityGuardians","HideImmunityVFX","CapitalAttackCount","DestroyWalls","RecallHousing","PreviewScenario","TombStone","NumTombStones","Overgrowth","TargetingRadius","TargetedProjectile","TargetedAgainEffect","MasterAura","ResurrectHitpointPercentage","EndEffect","StatBars","NoClipping","DebrisProjectileFindNewTarget","DebrisProjectileCenter","DebrisProjectileCenterNearestBuilding","DebrisCountLimit","DoesNotAffectOwner"
"String","int","String","String","boolean","int","int","int","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","int","String","String","String","boolean","int","String","int","int","String","String","String","int","int","int","int","int","int","int","int","boolean","int","boolean","boolean","boolean","int","int","int","int","String","boolean","int","int","String","String","String","int","int","String","String","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","boolean","int","String","String","int","boolean","int","String","String","boolean","int","String","String","boolean","String","String","String","int","boolean"
"LighningStorm",1,"TID_LIGHTNING_STORM","TID_LIGHTNING_STORM_INFO",,1,1,3,1,180,800,0,100,2,"Elixir",50000,,,,,,,,150,,,,,,200,1,0,400,"sc/ui.sc","icon_spell_lightning","icon_spell_lightning","Lightning predeploy","Lightning area small",,,"Lightning Spell","Lightning Spell Hit","TRUE",100,,,700,"Spell Forge","TID_PREFERRED_TARGET_ANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,"SpellLightning",,,,,,,,,,"Damage;DamageType;HousingSpace;TargetType;StunTime",,,,,,
,2,,,,,1,,,,,,,4,,100000,,,,,,,,180,,,,,,200,1,0,400,,,,,,,,,,,100,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,2,,,,,,,6,,200000,,,,,,,,210,,,,,,200,1,0,400,,,,,,,,,,,100,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,3,,,,,,,24,,600000,,,,,,,,240,,,,,,200,1,0,400,,,,,,,,,,,100,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,6,,,,,,,36,,1500000,,,,,,,,270,,,,,,200,1,0,400,,,,,,,,,,,100,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,7,,,,,,,72,,2500000,,,,,,,,320,,,,,,200,1,0,400,,,,,,,,,,,100,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,8,,,,,,,84,,4200000,,,,,,,,400,,,,,,200,1,0,400,,,,,,,,,,,100,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,9,,,,,,,120,,6300000,,,,,,,,480,,,,,,200,1,0,400,,,,,,,,,,,100,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,10,,,,,,,144,,10000000,,,,,,,,560,,,,,,200,1,0,400,,,,,,,,,,,100,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,13,,,,,,,168,,13500000,,,,,,,,600,,,,,,200,1,0,400,,,,,,,,,,,100,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,14,,,,,,,240,,18500000,,,,,,,,640,,,,,,200,1,0,400,,,,,,,,,,,100,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,15,,,,,,,336,,27000000,,,,,,,,680,,,,,,200,1,0,400,,,,,,,,,,,100,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,16,,,,,,,,,,,,,,,,,720,,,,,,200,1,0,400,,,,,,,,,,,100,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HealingWave",1,"TID_HEALING_WAVE","TID_HEALING_WAVE_INFO",,2,2,6,2,360,800,300,400,3,"Elixir",75000,,,,,,,,-15,,,,,,500,41,200,300,"sc/ui.sc","icon_spell_healing","icon_spell_healing","Heal predeploy","Heal area",,"Heal area top",,"Heal spell","TRUE",,,,900,"Spell Forge","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellHeal",,,,,,,,,,"Heal;HeroHeal;DamageType;HousingSpace;TargetType;SpellTime",,,,,,
,2,,,,,2,,,,,,,6,,150000,,,,,,,,-20,,,,,,500,41,200,300,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,4,,,,,,,12,,300000,,,,,,,,-25,,,,,,500,41,200,300,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,5,,,,,,,24,,900000,,,,,,,,-30,,,,,,500,41,200,300,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,6,,,,,,,36,,1800000,,,,,,,,-35,,,,,,500,41,200,300,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,7,,,,,,,72,,3000000,,,,,,,,-40,,,,,,500,41,200,300,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,8,,,,,,,120,,6000000,,,,,,,,-45,,,,,,500,41,200,300,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,11,,,,,,,156,,11000000,,,,,,,,-50,,,,,,500,41,200,300,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,13,,,,,,,168,,14000000,,,,,,,,-55,,,,,,500,41,200,300,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,14,,,,,,,252,,19000000,,,,,,,,-60,,,,,,500,41,200,300,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,15,,,,,,,360,,29000000,,,,,,,,-67,,,,,,500,41,200,300,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,16,,,,,,,,,,,,,,,,,-75,,,,,,500,41,200,300,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haste",1,"TID_HASTE","TID_HASTE_INFO",,3,3,6,2,360,800,300,400,6,"Elixir",400000,1000,20,10,,,130,,,,,,,,500,60,400,300,"sc/ui.sc","icon_spell_rage","icon_spell_rage","Rage predeploy","Rage deploy",,"Rage deploy top",,,"TRUE",,,,900,"Spell Forge","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellRage",,,,,,,,,,"Damage;MovementSpeed;DamageType;HousingSpace;TargetType;SpellTimeExtraTick",,,,,,
,2,,,,,3,,,,,,,12,,800000,1000,22,11,,,140,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,4,,,,,,,24,,1000000,1000,24,12,,,150,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,5,,,,,,,48,,2000000,1000,26,13,,,160,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,6,,,,,,,96,,5000000,1000,28,14,,,170,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,10,,,,,,,,,,1000,30,15,,,180,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jump",1,"TID_JUMP_SPELL","TID_JUMP_SPELL_INFO",,4,4,6,2,360,800,300,400,24,"Elixir",1000000,,,,100,400,,,,,,,,,350,81,400,250,"sc/ui.sc","icon_spell_jump","icon_spell_jump","Jump predeploy","Jump deploy lvl1",,"Jump deploy top lvl1",,,"TRUE",,,,1200,"Spell Forge","TID_INFO_TARGET_TYPE_GROUND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellJump",,,,,,,,,,,,,,,,
,2,,,,,5,,,,,,,48,,2000000,,,,100,400,,,,,,,,,350,161,400,250,,,,"Jump predeploy","Jump deploy lvl2",,"Jump deploy top lvl2",,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,8,,,,,,,96,,5000000,,,,100,400,,,,,,,,,350,241,400,250,,,,"Jump predeploy","Jump deploy lvl3",,"Jump deploy top lvl3",,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,11,,,,,,,156,,8000000,,,,100,400,,,,,,,,,350,321,400,250,,,,"Jump predeploy","Jump deploy lvl4",,"Jump deploy top lvl4",,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,13,,,,,,,,,,,,,100,400,,,,,,,,,350,401,400,250,,,,"Jump predeploy","Jump deploy lvl5",,"Jump deploy top lvl5",,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
